Species,Population,Lat,Long,Max_SVL,Mass,SVL_Fmat,SVL_hatchling,Clutch_size,n_Clutch_size,Reproductive_mode,Clutch_freq,RCM,Foraging_mode,Distribution,Habitat,Presence_Phylogeny,genus,species
Aspidoscelis_sonorae,"Portal, Arizona",31.91,-109.14,93,23.7,61,NA,3.7,NA,Oviparous,2,0.16,Active,Temperate,Terrestrial,0,Aspidoscelis,sonorae
Aspidoscelis_exsanguis,South Central New Mexico,32.87,-107.31,101,30.7,60,NA,2.7,NA,Oviparous,1,NA,Active,Temperate,Terrestrial,0,Aspidoscelis,exsanguis
Kentropyx_borckiana,Demerara,10.63,-61.26,101,30.7,84,75,3,2,Oviparous,1,NA,Active,Tropical,Terrestrial,0,Kentropyx,borckiana
Cnemidophorus_lemniscatus,Santander,43.46,-3.81,113,43.5,51,25,2.2,46,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Cnemidophorus,lemniscatus
Kentropyx_altamazonica,Departamento Amazonas,-5.12,-78.11,114,44.7,78,31,5.3,12,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Kentropyx,altamazonica
Cnemidophorus_gramivagus,"Humaita, 1991 - 2003",-7.51,-63.03,116,47.1,56,32,1.7,3,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Cnemidophorus,gramivagus
Kentropyx_calcarata,Amapa,-4.27,-55.99,119,51,87,37,3.1,9,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Kentropyx,calcarata
Kentropyx_striata,Alto Alegre,2.9,-61.49,127,62.5,82,49,2.3,11,Oviparous,1,NA,Active,Tropical,Terrestrial,1,Kentropyx,striata
Kentropyx_pelviceps,Cuyabeno,-0.29,-78.52,130,67.2,NA,NA,6.5,11,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Kentropyx,pelviceps
Aspidoscelis_tigris,USA,30,-104,137,79.1,60,NA,1.9,48,Oviparous,1,0.105,Active,Temperate,Terrestrial,1,Aspidoscelis,tigris
Aspidoscelis_communis,"Greer, Oklahoma",34.93,-99.46,152,109.3,NA,NA,6.6,NA,Oviparous,NA,NA,Active,Temperate,Terrestrial,1,Aspidoscelis,communis
Ameiva_ameiva,Boa Vista,2.82,-60.67,210,298.6,NA,NA,3.9,28,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Ameiva,ameiva
Ameiva_fuscata,Dominica,15.41,-61.37,250,513.6,105,NA,4,NA,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Ameiva,fuscata
