species,id,height_low,height_high,flowerheads_per_plant,floweringstems_per_plant,plant_northing,plant_easting
ARTFRI,159b,21,28.5,200,6,5192327.31,692694.735
ARTFRI,160b,11,33,500,18,5192328.987,692693.489
ARTFRI,161b,7,44.5,550,24,5192329.499,692692.999
ARTFRI,281b,3,42,1140,31,5192355.551,692657.493
ARTFRI,286b,7,36,910,17,5192354.957,692659.395
ARTFRI,282b,8,47,1380,31,5192349.012,692645.818
ARTFRI,283b,5,43,1510,46,5192355.608,692637.101
ARTFRI,280b,10,22,210,7,5192359.803,692659.028
ARTFRI,292b,5,36,1360,36,5192353.692,692661.359
ARTFRI,293b,9,35,560,16,5192352.097,692660.231
ARTFRI,294b,19,28,140,4,5192351.951,692659.723
ARTFRI,291b,13,40,1750,62,5192353.215,692661.124
ARTFRI,284b,4,6,80,3,5192355.923,692658.42
ARTFRI,e21,2,31,530,22,5192346.613,692658.608
ARTFRI,e10,12,30,400,11,5192349.208,692658.443
ARTFRI,295b,11,45,780,23,5192347.945,692658.034
ARTFRI,302b,14,42,700,23,5192349.79,692660.678
ARTFRI,303b,7,35,1200,37,5192349.531,692661.109
ARTFRI,304b,17,30,280,14,5192350.116,692661.335
ARTFRI,305b,1,37,550,22,5192349.998,692661.431
ARTFRI,306b,3,24,690,15,5192351.536,692661.368
ARTFRI,307b,12,23,350,7,5192352.342,692661.066
ARTFRI,308b,8,17,5,1,5192354.085,692662.408
ARTFRI,285b,13,19,30,1,5192355.311,692658.899
ARTFRI,287b,10,40,1530,50,5192354.765,692660.803
ARTFRI,297b,23,48,250,11,5192341.502,692660.667
ARTFRI,288b,13,32,210,10,5192353.575,692659.903
ARTFRI,289b,6,37,1150,24,5192353.272,692660.245
ARTFRI,290b,6,31,580,12,5192353.028,692660.5
ARTFRI,301b,15,46,660,24,5192348.273,692660.946
ARTFRI,298b,18,38,260,8,5192341.831,692660.641
ARTFRI,296b,5,20,10,3,5192346.56,692657.892
ARTFRI,300b,3,17,340,13,5192348.063,692660.906
ARTFRI,299b,3,23,1040,33,5192346.021,692660.219
ARTFRI,326b,23,40.5,200,7,5192379.911,692674.98
ARTFRI,330b,11.5,42,660,24,5192385.608,692687.272
ARTFRI,327b,15,47,790,21,5192380.824,692679.676
ARTFRI,329b,7,39,400,22,5192386.061,692687.027
ARTFRI,334b,12.5,49,970,18,5192382.584,692697.36
ARTFRI,331b,22,37,230,6,5192385.318,692688.684
ARTFRI,328b,27,51,1440,49,5192385.999,692685.698
ARTFRI,333b,16,41,200,12,5192387.939,692688.577
ARTFRI,e22,25,42,450,18,5192367.642,692678.302
ARTFRI,338b,9.5,63.5,1020,57,5192385.733,692702.707
ARTFRI,339b,13,43.5,430,16,5192379.595,692699.227
